run_id,model_name,mode,age,gender,sexual_orientation,city_of_living,employment_status,education_level,marital_status,children,migration_status,religious_beliefs,parent_1_education,parent_2_education,hobbies,fav_subjects,hat_subjects,ocean_openness_score,ocean_openness_level,ocean_conscientiousness_score,ocean_conscientiousness_level,ocean_extraversion_score,ocean_extraversion_level,ocean_agreeableness_score,ocean_agreeableness_level,ocean_neuroticism_score,ocean_neuroticism_level
ea96b48f63,mistral-small-latest,human,70,woman,asexual,Naples,self-employed,master's degree,married,2,native-born Italian,Hinduism,bachelor's degree,vocational diploma,"rock climbing, travel, running, baking, volunteering","philosophy, computer science","biology, chemistry",26,low,69,high,98,high,15,low,76,high
a03787a7fb,mistral-small-latest,human,40,non-binary,heterosexual,Philadelphia,part-time student,bachelor's degree,married,0,native-born American,Buddhism,upper secondary,PhD,"cooking, gardening","physics, chemistry","computer science, maths",100,high,85,high,28,low,78,high,96,high
ae89419ce1,mistral-small-latest,human,20,man,bisexual,Bologna,unemployed,vocational diploma,single,0,native-born Italian,Atheist,primary school,PhD,"knitting, running, board games, cycling, gardening","literature, physics","maths, economics",65,moderate,61,moderate,16,low,59,moderate,23,low
a53318d041,mistral-small-latest,human,18,man,heterosexual,Bologna,employed part-time,upper secondary,single,0,immigrant,Islam,master's degree,bachelor's degree,"cycling, rock climbing, hiking","art, literature","chemistry, economics",3,low,12,low,87,high,43,moderate,78,high
6a75571aef,mistral-small-latest,human,20,man,bisexual,Lecce,full-time student,bachelor's degree,single,0,native-born Italian,Hinduism,no formal education,primary school,"baking, football (calcio)","physics, economics","literature, history",66,moderate,77,high,74,high,90,high,2,low
8b6900bb19,mistral-small-latest,human,19,man,heterosexual,New York,unemployed,upper secondary,single,0,native-born American,Islam,upper secondary,no formal education,"photography, cycling, knitting, painting, rock climbing","physics, history","biology, chemistry",79,high,88,high,57,moderate,1,low,98,high
1505c6c80c,mistral-small-latest,human,23,man,heterosexual,Bologna,unemployed,lower secondary,single,0,native-born Italian,Buddhism,master's degree,no formal education,"knitting, cycling, classical music","literature, maths","computer science, chemistry",84,high,49,moderate,1,low,92,high,41,moderate
b667b68602,mistral-small-latest,human,35,woman,heterosexual,Naples,employed part-time,upper secondary,married,2,native-born Italian,Agnostic,vocational diploma,primary school,"classical music, photography, travel, running, yoga","physics, biology","computer science, maths",17,low,35,moderate,76,high,83,high,59,moderate
ea7566e4c0,mistral-small-latest,human,19,woman,heterosexual,Los Angeles,employed part-time,vocational diploma,single,0,immigrant,Islam,primary school,upper secondary,"hiking, rock climbing, board games","literature, history","biology, philosophy",13,low,38,moderate,14,low,27,low,46,moderate
ea609eba8c,mistral-small-latest,human,20,man,heterosexual,Bologna,full-time student,upper secondary,single,0,immigrant,Atheist,master's degree,vocational diploma,"reading novels, volunteering, cinema, rock climbing, cycling","economics, physics","maths, literature",53,moderate,92,high,65,moderate,66,moderate,3,low
94f6522d5d,mistral-small-latest,human,20,agender,heterosexual,Milan,employed part-time,upper secondary,single,0,native-born Italian,Buddhism,master's degree,master's degree,"reading novels, videogames","art, history","maths, philosophy",66,moderate,8,low,5,low,97,high,35,moderate
45d5f11dd6,mistral-small-latest,human,50,agender,heterosexual,Bari,unemployed,lower secondary,single,1,native-born Italian,Christianity,upper secondary,PhD,"board games, running, rock climbing","maths, art","physics, computer science",67,high,69,high,62,moderate,23,low,77,high
9cbad4bbdc,mistral-small-latest,human,35,woman,homosexual,Bologna,employed part-time,master's degree,married,0,immigrant,Islam,primary school,primary school,"volunteering, hiking, rock climbing","literature, physics","art, biology",16,low,23,low,67,high,57,moderate,6,low
35fb4aba95,mistral-small-latest,human,60,woman,bisexual,Washington DC,self-employed,no formal education,married,1,native-born American,Judaism,bachelor's degree,bachelor's degree,"cinema, painting","physics, literature","chemistry, philosophy",52,moderate,88,high,29,low,80,high,26,low
c5b2f98c5c,mistral-small-latest,human,24,woman,homosexual,Bari,employed full-time,master's degree,single,0,immigrant,Islam,upper secondary,PhD,"volunteering, classical music","physics, art","computer science, maths",53,moderate,50,moderate,99,high,59,moderate,42,moderate
e19fc425f6,mistral-small-latest,human,25,woman,heterosexual,Bologna,full-time student,master's degree,married,1,immigrant,Islam,vocational diploma,primary school,"yoga, birdwatching, board games","chemistry, literature","art, philosophy",11,low,84,high,15,low,86,high,62,moderate
dd1040b6ed,mistral-small-latest,human,18,woman,heterosexual,Bologna,full-time student,upper secondary,single,0,immigrant,Judaism,no formal education,PhD,"football (calcio), gardening","art, computer science","history, biology",8,low,56,moderate,76,high,90,high,98,high
b9ea1dacf2,mistral-small-latest,human,19,man,heterosexual,Bari,full-time student,upper secondary,single,0,native-born Italian,Christianity,no formal education,primary school,"videogames, gardening, reading novels","biology, economics","physics, maths",97,high,49,moderate,22,low,65,moderate,94,high
4110f50eaf,mistral-small-latest,human,50,woman,heterosexual,Bari,employed part-time,lower secondary,widowed,1,native-born Italian,Islam,upper secondary,upper secondary,"birdwatching, board games, baking, cycling","economics, philosophy","biology, physics",27,low,3,low,30,low,11,low,51,moderate
1713434624,mistral-small-latest,human,50,man,heterosexual,Washington DC,self-employed,bachelor's degree,married,2,native-born American,Atheist,vocational diploma,upper secondary,"volunteering, cooking, knitting, cycling","art, maths","literature, biology",32,low,87,high,74,high,76,high,72,high
6ad6711d7d,mistral-small-latest,human,30,man,heterosexual,Bari,employed full-time,upper secondary,in a relationship,2,native-born Italian,Islam,upper secondary,lower secondary,"yoga, painting","literature, chemistry","computer science, physics",7,low,56,moderate,21,low,20,low,77,high
20f6db8ea2,mistral-small-latest,human,23,woman,heterosexual,Kansas City,self-employed,bachelor's degree,single,1,native-born American,Islam,bachelor's degree,PhD,"knitting, running","history, physics","economics, literature",54,moderate,51,moderate,47,moderate,65,moderate,25,low
41c49f1cd1,mistral-small-latest,human,21,genderqueer,asexual,Rome,full-time student,upper secondary,single,0,native-born Italian,Christianity,primary school,vocational diploma,"yoga, hiking, football (calcio), baking, birdwatching","art, biology","literature, economics",30,low,65,moderate,88,high,44,moderate,62,moderate
1605258cc2,mistral-small-latest,human,60,man,homosexual,Bologna,unemployed,upper secondary,married,2,native-born Italian,Atheist,PhD,bachelor's degree,"board games, photography, gardening, knitting","history, chemistry","literature, physics",37,moderate,43,moderate,90,high,58,moderate,79,high
4460d4cd0f,mistral-small-latest,human,25,man,heterosexual,New York,full-time student,bachelor's degree,single,0,native-born American,Islam,primary school,upper secondary,"cinema, volunteering, knitting, football (calcio)","literature, biology","philosophy, maths",67,high,52,moderate,57,moderate,23,low,26,low
9f19317e71,mistral-small-latest,human,22,man,heterosexual,Los Angeles,employed full-time,vocational diploma,in a relationship,0,native-born American,Judaism,bachelor's degree,PhD,"videogames, hiking","literature, art","computer science, physics",3,low,84,high,4,low,26,low,63,moderate
2c801090a5,mistral-small-latest,human,19,man,heterosexual,Bari,full-time student,vocational diploma,single,0,native-born Italian,Christianity,no formal education,upper secondary,"photography, cooking, videogames","economics, biology","philosophy, maths",50,moderate,70,high,90,high,12,low,22,low
b69d1fb4ab,mistral-small-latest,human,27,woman,heterosexual,Kansas City,employed full-time,vocational diploma,in a relationship,2,immigrant,Christianity,PhD,no formal education,"travel, cycling, baking, birdwatching, rock climbing","art, history","physics, computer science",75,high,93,high,35,moderate,24,low,38,moderate
1c6aedf014,mistral-small-latest,human,25,man,bisexual,Kansas City,employed full-time,vocational diploma,single,1,immigrant,Hinduism,upper secondary,PhD,"board games, travel, photography","maths, history","chemistry, philosophy",95,high,32,low,69,high,45,moderate,30,low
8c53d3c240,mistral-small-latest,human,30,man,heterosexual,Chicago,self-employed,upper secondary,single,0,native-born American,Judaism,master's degree,primary school,"knitting, running, painting","history, economics","chemistry, computer science",80,high,4,low,20,low,14,low,67,high
ffd9b21998,mistral-small-latest,human,70,woman,heterosexual,Bologna,retired,bachelor's degree,married,2,native-born Italian,Agnostic,primary school,upper secondary,"travel, videogames, running, cooking, rock climbing","economics, art","history, chemistry",78,high,29,low,82,high,95,high,29,low
cb596fbc42,mistral-small-latest,human,19,woman,heterosexual,Rome,full-time student,upper secondary,single,0,native-born Italian,Hinduism,primary school,PhD,"knitting, cooking","physics, chemistry","literature, maths",68,high,8,low,7,low,14,low,11,low
5104405870,mistral-small-latest,human,25,man,heterosexual,Kansas City,self-employed,bachelor's degree,married,1,native-born American,Buddhism,master's degree,lower secondary,"reading novels, classical music, gardening, hiking, cinema","history, economics","art, literature",89,high,16,low,93,high,9,low,41,moderate
00e389ef1c,mistral-small-latest,human,30,man,homosexual,New York,employed full-time,vocational diploma,single,1,immigrant,Islam,lower secondary,PhD,"cinema, cooking","literature, physics","economics, chemistry",27,low,12,low,75,high,20,low,61,moderate
5f1f0729f4,mistral-small-latest,human,28,man,heterosexual,Philadelphia,employed full-time,upper secondary,single,0,native-born American,Islam,primary school,upper secondary,"classical music, reading novels, yoga","history, chemistry","maths, computer science",64,moderate,37,moderate,16,low,48,moderate,72,high
d8e14f734f,mistral-small-latest,human,25,man,asexual,Chicago,employed full-time,bachelor's degree,married,0,native-born American,Atheist,lower secondary,upper secondary,"gardening, classical music, rock climbing, cooking, knitting","economics, biology","art, literature",35,moderate,15,low,90,high,79,high,47,moderate
b76746e7b8,mistral-small-latest,human,30,agender,heterosexual,Philadelphia,employed full-time,bachelor's degree,in a relationship,0,native-born American,Islam,bachelor's degree,bachelor's degree,"classical music, reading novels","philosophy, art","biology, chemistry",17,low,10,low,76,high,45,moderate,55,moderate
b2bebf485a,mistral-small-latest,human,50,man,bisexual,Bari,employed full-time,vocational diploma,divorced,2,native-born Italian,Atheist,no formal education,upper secondary,"baking, photography, reading novels, yoga, knitting","biology, economics","physics, philosophy",43,moderate,84,high,47,moderate,94,high,84,high
1146c3a770,mistral-small-latest,human,27,man,heterosexual,New York,unemployed,bachelor's degree,married,1,immigrant,Atheist,PhD,vocational diploma,"photography, classical music, board games, cinema","biology, economics","literature, physics",18,low,92,high,82,high,63,moderate,17,low
ec39bb2d54,mistral-small-latest,human,23,woman,heterosexual,New York,unemployed,bachelor's degree,single,0,native-born American,Atheist,primary school,upper secondary,"painting, baking","chemistry, economics","history, biology",96,high,38,moderate,88,high,43,moderate,79,high
a225d5784a,mistral-small-latest,human,21,genderqueer,homosexual,Kansas City,full-time student,upper secondary,single,0,native-born American,Atheist,upper secondary,PhD,"travel, cinema, birdwatching, hiking, board games","physics, maths","biology, computer science",11,low,40,moderate,66,moderate,92,high,80,high
381444572b,mistral-small-latest,human,19,woman,homosexual,Chicago,employed part-time,upper secondary,in a relationship,1,native-born American,Christianity,upper secondary,primary school,"painting, football (calcio), cooking, reading novels, hiking","art, literature","physics, maths",8,low,5,low,14,low,4,low,36,moderate
17ac3fa77d,mistral-small-latest,human,50,man,bisexual,Lecce,employed full-time,lower secondary,married,0,immigrant,Agnostic,bachelor's degree,master's degree,"knitting, board games, football (calcio), travel, volunteering","physics, art","economics, biology",4,low,56,moderate,92,high,74,high,40,moderate
0152e1574a,mistral-small-latest,human,23,man,heterosexual,Lecce,employed full-time,upper secondary,single,0,native-born Italian,Islam,lower secondary,primary school,"knitting, classical music, birdwatching, videogames","maths, art","economics, literature",47,moderate,31,low,74,high,84,high,28,low
ccadd5c3d1,mistral-small-latest,human,24,woman,heterosexual,Milan,employed full-time,upper secondary,in a relationship,0,immigrant,Hinduism,PhD,vocational diploma,"football (calcio), birdwatching","biology, philosophy","computer science, chemistry",55,moderate,5,low,8,low,57,moderate,64,moderate
86ecf2e71b,mistral-small-latest,human,19,woman,heterosexual,Naples,part-time student,lower secondary,single,0,native-born Italian,Judaism,primary school,bachelor's degree,"rock climbing, travel, knitting, board games, videogames","philosophy, maths","physics, chemistry",54,moderate,70,high,85,high,74,high,21,low
25eacb3ea0,mistral-small-latest,human,23,woman,homosexual,Naples,employed full-time,upper secondary,in a relationship,0,native-born Italian,Agnostic,PhD,upper secondary,"reading novels, knitting, cooking, hiking","chemistry, art","biology, computer science",46,moderate,41,moderate,68,high,84,high,78,high
ba6c6cef38,mistral-small-latest,human,19,transgender,heterosexual,Naples,full-time student,upper secondary,single,0,native-born Italian,Atheist,primary school,master's degree,"travel, rock climbing","maths, philosophy","physics, literature",68,high,95,high,59,moderate,73,high,51,moderate
0cd434c675,mistral-small-latest,human,19,man,heterosexual,Lecce,full-time student,vocational diploma,single,0,native-born Italian,Atheist,upper secondary,no formal education,"painting, gardening, baking, board games","economics, biology","history, art",72,high,91,high,40,moderate,27,low,83,high
5102ecef45,mistral-small-latest,human,19,man,heterosexual,New York,employed part-time,bachelor's degree,single,0,native-born American,Islam,bachelor's degree,primary school,"volunteering, classical music, birdwatching, knitting, hiking","philosophy, maths","history, chemistry",83,high,1,low,97,high,100,high,76,high
8d6007a073,mistral-small-latest,human,50,woman,heterosexual,Los Angeles,employed full-time,upper secondary,married,1,immigrant,Christianity,lower secondary,no formal education,"gardening, hiking, reading novels","philosophy, maths","art, economics",71,high,72,high,3,low,73,high,25,low
5dac046fe8,mistral-small-latest,human,35,woman,bisexual,New York,self-employed,upper secondary,single,0,native-born American,Hinduism,bachelor's degree,bachelor's degree,"birdwatching, travel, gardening, cycling","literature, art","history, computer science",84,high,78,high,34,moderate,5,low,93,high
612e2c17a8,mistral-small-latest,human,21,man,asexual,New York,full-time student,bachelor's degree,single,0,immigrant,Hinduism,primary school,upper secondary,"cinema, reading novels, yoga, cooking","art, computer science","biology, literature",8,low,37,moderate,46,moderate,28,low,54,moderate
738e71cd00,mistral-small-latest,human,22,man,heterosexual,Rome,self-employed,bachelor's degree,in a relationship,0,native-born Italian,Atheist,master's degree,upper secondary,"videogames, board games, travel","chemistry, physics","computer science, philosophy",47,moderate,44,moderate,12,low,21,low,86,high
c683b666da,mistral-small-latest,human,18,non-binary,heterosexual,New York,full-time student,upper secondary,single,0,native-born American,Islam,bachelor's degree,lower secondary,"cycling, football (calcio)","history, maths","physics, computer science",89,high,86,high,10,low,71,high,0,low
4c9412d5ae,mistral-small-latest,human,21,man,asexual,Lecce,unemployed,bachelor's degree,single,0,native-born Italian,Atheist,vocational diploma,upper secondary,"knitting, hiking, travel, gardening","biology, economics","chemistry, philosophy",93,high,31,low,21,low,66,moderate,11,low
2515916cc5,mistral-small-latest,human,70,genderqueer,heterosexual,Milan,self-employed,lower secondary,in a relationship,1,native-born Italian,Christianity,primary school,PhD,"gardening, travel, cooking, cinema, knitting","chemistry, physics","computer science, maths",93,high,24,low,71,high,10,low,53,moderate
18d6f32f49,mistral-small-latest,human,18,man,bisexual,Philadelphia,full-time student,vocational diploma,single,0,native-born American,Islam,PhD,master's degree,"gardening, travel","philosophy, history","literature, biology",50,moderate,15,low,26,low,82,high,28,low
87fa870d1e,mistral-small-latest,human,23,woman,homosexual,Bologna,employed full-time,vocational diploma,single,0,immigrant,Christianity,primary school,PhD,"volunteering, board games","literature, chemistry","art, computer science",7,low,28,low,28,low,93,high,70,high
6c6e7af6ff,mistral-small-latest,human,24,agender,bisexual,Washington DC,unemployed,upper secondary,single,0,native-born American,Christianity,master's degree,bachelor's degree,"cycling, cooking, volunteering","philosophy, economics","physics, chemistry",53,moderate,9,low,33,moderate,41,moderate,96,high
a030d1241a,mistral-small-latest,human,24,man,heterosexual,Milan,employed full-time,lower secondary,married,0,native-born Italian,Judaism,no formal education,upper secondary,"running, photography, travel, football (calcio), board games","economics, chemistry","physics, computer science",92,high,62,moderate,13,low,32,low,57,moderate
7395fc801a,mistral-small-latest,human,50,man,heterosexual,Bologna,self-employed,vocational diploma,divorced,1,native-born Italian,Islam,master's degree,PhD,"videogames, football (calcio), rock climbing","philosophy, art","economics, literature",17,low,11,low,48,moderate,59,moderate,96,high
77e129a27d,mistral-small-latest,human,19,woman,heterosexual,Kansas City,employed part-time,upper secondary,single,0,native-born American,Islam,no formal education,primary school,"travel, photography","computer science, art","economics, maths",78,high,69,high,59,moderate,20,low,24,low
6760651aba,mistral-small-latest,human,18,woman,heterosexual,Kansas City,unemployed,vocational diploma,single,0,native-born American,Islam,primary school,no formal education,"cinema, football (calcio), knitting","economics, literature","maths, physics",81,high,36,moderate,6,low,88,high,3,low
bf13f7bd81,mistral-small-latest,human,35,man,asexual,Lecce,employed full-time,upper secondary,single,1,native-born Italian,Islam,upper secondary,vocational diploma,"running, photography","computer science, physics","economics, art",70,high,32,low,16,low,17,low,9,low
8a32ce30c4,mistral-small-latest,human,18,man,heterosexual,Kansas City,full-time student,vocational diploma,single,1,immigrant,Agnostic,no formal education,no formal education,"board games, cinema","computer science, chemistry","literature, art",30,low,69,high,52,moderate,83,high,40,moderate
0ad1a7e59e,mistral-small-latest,human,28,man,heterosexual,Washington DC,unemployed,upper secondary,married,1,immigrant,Christianity,vocational diploma,bachelor's degree,"classical music, videogames","art, computer science","philosophy, physics",9,low,29,low,41,moderate,29,low,3,low
5f9bf4ad17,mistral-small-latest,human,26,woman,heterosexual,Kansas City,employed full-time,upper secondary,married,0,native-born American,Hinduism,lower secondary,vocational diploma,"hiking, classical music, birdwatching","computer science, economics","art, literature",30,low,23,low,60,moderate,74,high,64,moderate
334710f365,mistral-small-latest,human,21,woman,heterosexual,Naples,full-time student,bachelor's degree,in a relationship,0,native-born Italian,Agnostic,no formal education,primary school,"gardening, videogames, travel, rock climbing, volunteering","maths, computer science","art, literature",79,high,63,moderate,93,high,37,moderate,10,low
86536e66f6,mistral-small-latest,human,30,woman,heterosexual,Bari,employed part-time,bachelor's degree,single,2,native-born Italian,Hinduism,PhD,bachelor's degree,"football (calcio), painting, birdwatching","physics, chemistry","literature, computer science",55,moderate,66,moderate,75,high,40,moderate,7,low
62f526ca76,mistral-small-latest,human,21,woman,bisexual,Washington DC,full-time student,bachelor's degree,single,0,immigrant,Islam,PhD,PhD,"photography, travel, videogames","physics, economics","philosophy, history",61,moderate,26,low,49,moderate,84,high,21,low
9cb8483fe9,mistral-small-latest,human,27,woman,heterosexual,Bologna,employed full-time,upper secondary,in a relationship,0,immigrant,Islam,master's degree,no formal education,"volunteering, photography","physics, maths","art, literature",68,high,64,moderate,18,low,26,low,69,high
62ca4bfde8,mistral-small-latest,human,22,woman,heterosexual,New York,full-time student,bachelor's degree,single,2,native-born American,Atheist,primary school,lower secondary,"volunteering, rock climbing","history, physics","chemistry, maths",23,low,44,moderate,97,high,32,low,40,moderate
12d6da35cd,mistral-small-latest,human,23,genderqueer,asexual,Philadelphia,full-time student,master's degree,single,0,native-born American,Islam,vocational diploma,no formal education,"classical music, birdwatching, yoga, volunteering","history, physics","chemistry, literature",62,moderate,34,moderate,9,low,1,low,32,low
de5d734db6,mistral-small-latest,human,27,man,asexual,Los Angeles,employed full-time,lower secondary,in a relationship,0,native-born American,Buddhism,no formal education,PhD,"rock climbing, travel, photography, knitting, baking","physics, philosophy","biology, art",74,high,63,moderate,61,moderate,95,high,61,moderate
6835fb81a5,mistral-small-latest,human,19,man,heterosexual,Los Angeles,employed part-time,upper secondary,in a relationship,0,native-born American,Islam,vocational diploma,lower secondary,"cinema, cooking, classical music, knitting, videogames","biology, art","literature, philosophy",75,high,18,low,79,high,6,low,64,moderate
cd45a5322b,mistral-small-latest,human,23,woman,heterosexual,Chicago,employed full-time,bachelor's degree,single,0,native-born American,Hinduism,master's degree,primary school,"yoga, rock climbing, videogames, cinema","chemistry, computer science","physics, philosophy",23,low,85,high,65,moderate,78,high,83,high
dca1218603,mistral-small-latest,human,20,woman,heterosexual,Naples,full-time student,bachelor's degree,single,0,native-born Italian,Agnostic,master's degree,no formal education,"football (calcio), hiking","history, computer science","literature, art",51,moderate,28,low,42,moderate,52,moderate,55,moderate
4ec1f21e8c,mistral-small-latest,human,24,man,heterosexual,New York,self-employed,bachelor's degree,single,2,native-born American,Hinduism,primary school,primary school,"knitting, running","biology, maths","economics, computer science",4,low,80,high,92,high,46,moderate,33,moderate
